320673,6,2,4,3
320674,2,2,7,6
320675,2,3,7,3
304021,2,4,6,5
298814,5,4,7,1
320677,2,3,4,4
298860,2,1,6,2
311203,1,3,6,6
320679,6,4,8,6
320684,2,1,4,1
320686,6,5,3,2
320687,4,4,6,1
323770,4,5,7,5
320690,6,1,8,4
320691,1,2,8,3
320692,5,2,6,3
323620,2,4,8,4
320693,5,5,4,5
288767,4,1,7,6
320694,3,4,3,2
320695,1,3,8,4
323621,3,5,6,3
320696,5,2,3,4
320697,5,1,3,6
323720,5,1,6,2
320698,3,1,4,5
320699,1,1,8,2
320700,4,1,3,3
320701,1,1,7,1
320702,3,2,8,6
320704,3,4,7,1
320705,3,3,6,4
320706,5,2,4,1
320707,3,4,6,3
320708,2,3,7,1
320710,4,2,3,4
320711,1,1,6,5
285776,3,1,3,2
320715,2,6,7,5
320717,1,1,4,2
320719,5,3,8,5
320720,3,1,7,5
320721,2,2,6,2
320723,6,3,7,1
313433,2,3,4,3
320725,1,3,8,1
320727,5,2,7,4
320728,5,1,8,3
298837,5,1,3,6
320730,1,2,3,6
320731,2,2,4,6
323968,4,3,6,2
330664,5,4,8,2
320732,4,4,7,6
320733,3,3,8,6
320735,6,1,8,5
320736,4,2,7,3
320737,2,5,8,3
320738,4,2,8,4
320739,3,1,6,1
320740,1,4,3,5
320741,6,1,7,5
320744,6,1,4,3
323201,2,5,6,2
323667,2,1,3,1
320746,5,5,4,5
320747,6,1,6,6
323538,5,3,6,4
320748,6,5,7,2
320750,1,6,8,3
311112,6,2,6,1
320751,4,3,7,5
320752,4,1,7,1
320753,5,1,4,3
320754,3,2,6,4
320755,5,3,7,1
