320673,6,2,4
320674,2,2,7
320675,2,3,8
304021,2,4,6
298814,5,4,7
320677,2,3,7
298860,2,1,3
311203,1,3,6
320679,6,4,8
320684,2,1,4
320686,6,5,7
320687,4,4,3
323770,4,5,6
320690,6,1,8
320691,1,2,8
320692,5,2,6
323620,2,4,3
320693,5,5,3
288767,4,1,6
320694,3,4,8
320695,1,3,6
323621,3,5,4
320696,5,2,3
320697,5,1,7
323720,5,1,4
320698,3,1,7
320699,1,1,8
320700,4,1,6
320701,1,1,3
320702,3,2,4
320704,3,4,6
320705,3,3,7
320706,5,2,8
320707,3,4,7
320708,2,3,8
320710,4,2,6
320711,1,1,8
285776,3,1,3
320715,2,6,8
320717,1,1,6
320719,5,3,8
320720,3,1,7
320721,2,2,7
320723,6,3,6
313433,2,3,4
320725,1,3,7
320727,5,2,3
320728,5,1,4
298837,5,1,3
320730,1,2,7
320731,2,2,4
323968,4,3,6
330664,5,4,6
320732,4,4,8
320733,3,3,7
320735,6,1,7
320736,4,2,3
320737,2,5,8
320738,4,2,8
320739,3,1,4
320740,1,4,7
320741,6,1,8
320744,6,1,6
323201,2,5,8
323667,2,1,3
320746,5,5,4
320747,6,1,4
323538,5,3,8
320748,6,5,6
320750,1,6,7
311112,6,2,6
320751,4,3,4
320752,4,1,6
320753,5,1,7
320754,3,2,8
320755,5,3,4
